                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4762,                 4.1889,                 1.5103,                0.04402,                0.05663,                0.02173,                0.00712,                 2.3644,                 3.9996,                 1.4441,              5.555e-05,              5.555e-05,              5.555e-05
                      2,                 2.2082,                 3.0364,                 1.3786,                0.71265,                 0.2612,                0.29989,                0.13042,                 2.1343,                 3.5213,                 1.2908,             0.00012181,             0.00012181,             0.00012181
                      3,                 2.0491,                 1.8507,                  1.276,                0.57204,                0.36095,                0.39223,                 0.1829,                 1.9722,                 3.9007,                 1.2388,             0.00018762,             0.00018762,             0.00018762
                      4,                 1.9583,                 1.6658,                 1.2509,                0.36586,                0.61748,                0.33056,                0.13301,                 1.9509,                 3.7431,                 1.2123,               0.000253,               0.000253,               0.000253
                      5,                 1.8912,                 1.5093,                 1.1856,                0.52189,                0.55439,                0.59133,                 0.2508,                 1.9525,                 3.4695,                 1.1893,             0.00031794,             0.00031794,             0.00031794
                      6,                 1.8689,                 1.4317,                 1.1884,                 0.7198,                0.52259,                0.60217,                0.28893,                 1.9327,                 2.5486,                 1.1895,             0.00038243,             0.00038243,             0.00038243
                      7,                 1.9672,                 1.6312,                 1.1936,                0.63092,                0.40128,                0.43876,                0.20595,                 1.9709,                  2.214,                 1.1996,             0.00044649,             0.00044649,             0.00044649
                      8,                 1.9017,                 1.3953,                 1.1677,                0.55264,                0.39181,                 0.3987,                0.17524,                 1.9764,                 3.3959,                 1.2498,             0.00051011,             0.00051011,             0.00051011
                      9,                 1.9231,                  1.425,                 1.1874,                0.18561,                0.62147,                0.18337,                0.07662,                 2.0525,                    inf,                 1.3349,             0.00057328,             0.00057328,             0.00057328
                     10,                 1.9234,                 1.2841,                  1.223,                0.12398,                0.51086,                0.12302,                0.05876,                 1.9632,                    inf,                 1.2497,             0.00063602,             0.00063602,             0.00063602
                     11,                 1.9139,                 1.3488,                 1.1897,                0.06741,                0.62223,                0.05726,                0.02456,                 1.8881,                    inf,                 1.2122,             0.00069832,             0.00069832,             0.00069832
                     12,                 1.8694,                 1.2374,                 1.2006,                0.15728,                0.61589,                0.08701,                0.03645,                 1.8981,                    inf,                 1.2487,             0.00076018,             0.00076018,             0.00076018
                     13,                   1.87,                 1.2007,                  1.199,                0.28206,                 0.6345,                0.28083,                0.11902,                 1.8879,                 38.986,                  1.256,             0.00082159,             0.00082159,             0.00082159
                     14,                 1.8672,                 1.2446,                 1.2029,                0.27668,                0.59844,                0.26294,                 0.1104,                 1.8954,                    inf,                 1.2462,             0.00088257,             0.00088257,             0.00088257
                     15,                 1.9148,                 1.2418,                  1.233,                0.31066,                0.62811,                0.28746,                0.12543,                 1.8727,                    inf,                 1.2489,             0.00094311,             0.00094311,             0.00094311
                     16,                 1.8612,                 1.1694,                 1.1832,                0.29916,                0.74458,                0.30157,                0.12663,                  1.918,                    inf,                 1.2565,              0.0010032,              0.0010032,              0.0010032
                     17,                 1.9505,                 1.1971,                 1.2145,                0.28321,                0.76785,                 0.3038,                0.12945,                 1.8851,                    inf,                 1.2318,              0.0010523,              0.0010523,              0.0010523
                     18,                 1.9296,                 1.2161,                 1.2315,                0.23504,                0.67678,                0.27951,                0.12157,                  1.927,                    inf,                 1.2691,              0.0010523,              0.0010523,              0.0010523
                     19,                 1.8629,                 1.1993,                 1.2072,                0.42996,                0.63812,                0.44507,                0.21842,                 1.8918,                 20.174,                 1.2444,              0.0010487,              0.0010487,              0.0010487
                     20,                  1.852,                 1.2272,                 1.1961,                0.44647,                0.62104,                0.42143,                0.18923,                 2.1149,                 12.191,                 1.3316,               0.001045,               0.001045,               0.001045
                     21,                 1.7903,                 1.0595,                 1.1637,                0.46861,                0.66477,                0.47512,                0.22737,                 1.9188,                 17.882,                 1.2602,              0.0010413,              0.0010413,              0.0010413
                     22,                 1.8704,                 1.1049,                 1.1383,                0.47775,                0.65456,                 0.4676,                0.21177,                 1.9599,                 20.892,                 1.2492,              0.0010377,              0.0010377,              0.0010377
                     23,                 1.7869,                 1.0661,                  1.137,                0.45541,                0.67713,                0.47812,                0.22509,                 1.8571,                 25.629,                 1.2154,               0.001034,               0.001034,               0.001034
                     24,                 1.8292,                 1.0623,                 1.1904,                0.53517,                 0.6122,                0.50482,                0.24763,                 1.8304,                 24.037,                 1.2134,              0.0010303,              0.0010303,              0.0010303
                     25,                 1.8047,                 1.0425,                 1.1732,                0.54081,                0.66434,                0.50546,                0.24228,                 1.8821,                 17.716,                 1.2277,              0.0010267,              0.0010267,              0.0010267
                     26,                 1.8383,                 1.0693,                 1.2166,                 0.4566,                0.76366,                0.49536,                0.25518,                 1.7812,                  10.07,                 1.1852,               0.001023,               0.001023,               0.001023
                     27,                  1.771,                 1.0042,                 1.1358,                0.49039,                0.74577,                0.50314,                0.25777,                 1.7882,                 7.2056,                 1.1753,              0.0010193,              0.0010193,              0.0010193
                     28,                 1.8154,                 1.0464,                 1.1469,                0.49954,                0.73939,                0.48866,                 0.2419,                 1.8618,                  25.03,                 1.2027,              0.0010157,              0.0010157,              0.0010157
                     29,                 1.8273,                 1.0142,                  1.167,                0.48651,                0.75094,                0.49096,                0.24829,                 1.8326,                 30.371,                 1.1743,               0.001012,               0.001012,               0.001012
                     30,                 1.7794,                0.99085,                 1.1322,                0.49198,                0.71931,                0.49188,                 0.2451,                 1.8373,                 3.4161,                  1.165,              0.0010083,              0.0010083,              0.0010083
                     31,                 1.8373,                 1.0252,                 1.1976,                0.63337,                0.75721,                0.72531,                0.35693,                 1.7518,                  1.123,                 1.1329,              0.0010047,              0.0010047,              0.0010047
                     32,                 1.7806,                0.98397,                 1.1566,                0.72746,                 0.6276,                0.72795,                0.38314,                 1.7647,                 1.0721,                 1.1543,               0.001001,               0.001001,               0.001001
                     33,                 1.7403,                0.97606,                 1.1474,                0.70425,                0.68441,                0.75065,                0.40114,                 1.7429,                 1.0516,                  1.152,             0.00099734,             0.00099734,             0.00099734
                     34,                 1.7917,                 1.0332,                 1.1725,                0.77365,                0.70556,                0.80044,                0.42006,                 1.6947,                 0.9728,                  1.138,             0.00099368,             0.00099368,             0.00099368
                     35,                 1.7438,                0.97154,                 1.1289,                0.78229,                0.73756,                0.79238,                0.42652,                 1.6976,                0.99363,                 1.1324,             0.00099001,             0.00099001,             0.00099001
                     36,                  1.785,                0.96801,                 1.1517,                0.70449,                0.65824,                0.71452,                0.38665,                 1.8112,                 1.0654,                  1.156,             0.00098635,             0.00098635,             0.00098635
                     37,                 1.7446,                0.96422,                 1.1519,                0.69664,                0.65828,                0.71802,                0.40428,                 1.7383,                 1.0594,                 1.1337,             0.00098268,             0.00098268,             0.00098268
                     38,                 1.6839,                0.95322,                 1.1282,                0.69796,                0.66141,                0.69601,                0.36798,                 1.7341,                 1.1101,                 1.1325,             0.00097901,             0.00097901,             0.00097901
                     39,                  1.715,                0.94499,                 1.1186,                 0.6759,                0.67668,                0.66744,                0.35392,                 1.7586,                  1.115,                 1.1289,             0.00097535,             0.00097535,             0.00097535
                     40,                 1.7598,                  0.966,                 1.1423,                0.64684,                0.70117,                0.69878,                0.36992,                  1.823,                 1.1181,                 1.1442,             0.00097168,             0.00097168,             0.00097168
                     41,                 1.7405,                0.97891,                 1.1428,                0.80651,                0.62578,                0.72356,                0.38545,                  1.899,                 1.2007,                 1.1515,             0.00096801,             0.00096801,             0.00096801
                     42,                 1.7252,                0.95951,                 1.1152,                0.69607,                0.68048,                0.70883,                0.40073,                 1.7288,                 1.1524,                 1.1134,             0.00096435,             0.00096435,             0.00096435
                     43,                 1.7347,                0.93116,                 1.1329,                0.69169,                0.69956,                0.72692,                0.41485,                 1.7211,                 1.0832,                 1.1123,             0.00096068,             0.00096068,             0.00096068
                     44,                 1.7094,                0.92576,                 1.1147,                 0.6935,                 0.7638,                  0.766,                0.40896,                 1.7561,                 1.0022,                 1.1091,             0.00095702,             0.00095702,             0.00095702
                     45,                 1.6603,                0.89694,                 1.1154,                0.73104,                0.78871,                0.80252,                0.43144,                 1.6915,                 0.9554,                 1.0872,             0.00095335,             0.00095335,             0.00095335
                     46,                 1.6665,                0.90242,                 1.0852,                0.76348,                0.77964,                0.80926,                0.45889,                 1.6099,                 0.9183,                 1.0763,             0.00094968,             0.00094968,             0.00094968
                     47,                 1.5851,                0.86534,                 1.0803,                0.81867,                0.73497,                0.82358,                0.48836,                 1.5837,                0.88952,                 1.0689,             0.00094602,             0.00094602,             0.00094602
                     48,                 1.6469,                0.90401,                 1.0966,                0.80912,                0.74374,                0.83935,                0.48082,                 1.6159,                0.88238,                  1.074,             0.00094235,             0.00094235,             0.00094235
                     49,                 1.6296,                0.90274,                 1.0882,                 0.7458,                0.81058,                0.84222,                0.48002,                 1.6277,                0.88141,                  1.075,             0.00093868,             0.00093868,             0.00093868
                     50,                 1.6332,                0.88637,                 1.1022,                0.83763,                0.83866,                0.88506,                0.47656,                  1.592,                0.85068,                  1.084,             0.00093502,             0.00093502,             0.00093502
                     51,                 1.6182,                0.85295,                 1.0906,                0.85941,                0.82419,                0.88844,                0.49142,                  1.603,                 0.8467,                 1.0823,             0.00093135,             0.00093135,             0.00093135
                     52,                 1.6263,                0.85245,                 1.0957,                0.80499,                 0.8354,                0.84246,                0.47988,                 1.6707,                0.89258,                 1.0911,             0.00092769,             0.00092769,             0.00092769
                     53,                 1.6011,                0.83565,                 1.0627,                0.83321,                0.85014,                0.86984,                0.49509,                 1.6033,                0.89387,                 1.0741,             0.00092402,             0.00092402,             0.00092402
                     54,                 1.6364,                0.85596,                 1.0696,                0.79448,                0.84938,                0.86337,                0.49737,                 1.5698,                 0.8969,                 1.0611,             0.00092035,             0.00092035,             0.00092035
                     55,                  1.602,                0.85921,                 1.0474,                0.77572,                0.78525,                0.84226,                 0.4842,                 1.6275,                0.94022,                  1.069,             0.00091669,             0.00091669,             0.00091669
                     56,                 1.5452,                0.82962,                 1.0466,                0.85466,                0.76473,                0.86488,                0.49233,                 1.5917,                0.88487,                  1.068,             0.00091302,             0.00091302,             0.00091302
                     57,                   1.55,                0.81345,                 1.0704,                0.87724,                0.76762,                0.86633,                0.51641,                 1.5614,                0.82813,                 1.0568,             0.00090935,             0.00090935,             0.00090935
                     58,                 1.5582,                0.86635,                 1.0534,                0.80295,                0.85001,                 0.8641,                0.50526,                 1.5843,                0.83001,                  1.064,             0.00090569,             0.00090569,             0.00090569
                     59,                 1.5624,                0.80663,                 1.0492,                0.85302,                0.82964,                0.87927,                0.52126,                 1.5281,                0.83687,                 1.0481,             0.00090202,             0.00090202,             0.00090202
                     60,                 1.5435,                0.78487,                 1.0377,                0.77651,                0.82614,                0.86248,                0.51317,                  1.583,                0.85033,                 1.0648,             0.00089835,             0.00089835,             0.00089835
                     61,                  1.579,                0.83644,                 1.0766,                0.78253,                0.82119,                0.83847,                0.51298,                 1.5409,                0.85269,                 1.0457,             0.00089469,             0.00089469,             0.00089469
                     62,                 1.5668,                  0.798,                 1.0791,                0.79715,                0.82514,                0.85853,                0.50008,                 1.5671,                0.87388,                 1.0604,             0.00089102,             0.00089102,             0.00089102
                     63,                 1.6082,                0.82414,                 1.0644,                0.83464,                0.81403,                0.85644,                0.50044,                 1.5686,                0.88159,                 1.0678,             0.00088736,             0.00088736,             0.00088736
                     64,                 1.5784,                0.80535,                 1.0552,                0.82472,                0.79893,                0.84457,                0.52152,                 1.5235,                0.85382,                 1.0445,             0.00088369,             0.00088369,             0.00088369
                     65,                 1.5249,                0.78033,                  1.041,                0.78729,                  0.803,                0.83026,                0.50761,                 1.5486,                0.87057,                 1.0505,             0.00088002,             0.00088002,             0.00088002
                     66,                 1.5297,                0.80531,                 1.0506,                 0.8367,                0.76751,                0.82201,                0.49859,                 1.6287,                0.83964,                 1.0618,             0.00087636,             0.00087636,             0.00087636
                     67,                 1.5677,                0.81874,                  1.055,                0.84868,                0.79711,                0.84636,                0.51799,                 1.5703,                0.81637,                 1.0482,             0.00087269,             0.00087269,             0.00087269
                     68,                  1.551,                0.80276,                 1.0557,                0.81271,                0.83674,                0.88257,                0.52496,                 1.5092,                0.79538,                 1.0367,             0.00086902,             0.00086902,             0.00086902
